institution,name,email,phone,other_info
Seimo Europos informacijos biuras,Algirdas Saudargas,algirdas.saudargas@europarl.europa.eu,,
Seimo Europos informacijos biuras,Juozas Imbrasas,juozas.imbrasas@europarl.europa.eu,,
Seimo Europos informacijos biuras,Justas Vincas Paleckis,justas.paleckis@europarl.europa.eu,,
Seimo Europos informacijos biuras,Laima Liucija Andrikienė,laimaliucija.andrikiene@europarl.europa.eu,,
Seimo Europos informacijos biuras,Leonidas Donskis,leonidas.donskis@europarl.europa.eu,,
Seimo Europos informacijos biuras,Radvilė Morkunaitė-Mikulenienė,radvile.morkunaite-mikuleniene@europarl.europa.eu,,
Seimo Europos informacijos biuras,Rolandas Paksas,rolandas.paksas@europarl.europa.eu,,
Seimo Europos informacijos biuras,Valdemaras Tomaševskis,valdemar.tomasevski@europarl.europa.eu,,
Seimo Europos informacijos biuras,Viktor Uspaskich,viktor.uspaskich@europarl.europa.eu,,
Seimo Europos informacijos biuras,Vilija Blinkeviciutė,vilija.blinkeviciute@europarl.europa.eu,,
Seimo Europos informacijos biuras,Vytautas Landsbergis,vytautas.landsbergis@europarl.europa.eu,,
Seimo Europos informacijos biuras,Zigmantas Balčytis,zigmantas.balcytis@europarl.europa.eu,,
