institution,name,email,phone,other_info
Lietuvos Respublikos aplinkos ministerija,Gediminas Kazlauskas,,,
Lietuvos Respublikos energetikos ministerija,Arvydas Sekmokas,,8 706 64919,http://www.enmin.lt/lt/contacts/kontaktai/
Lietuvos Respublikos finansų ministerija,Ingrida Šimonytė,,"(8 5) 239 0100, 239 0005",
Lietuvos Respublikos krašto apsaugos ministerija,Rasa Juknevičienė,,,
Lietuvos Respublikos kultūros ministerija,Arūnas Gelūnas,,,
Lietuvos Respublikos socialinės apsaugos ir darbo ministerija,Donatas Jankauskas,,,
Lietuvos Respublikos susisiekimo ministerija,Eligijus Masiulis,eministras@sumin.lt,,
Lietuvos Respublikos sveikatos apsaugos ministerija,Raimondas Šukys,,,
Lietuvos Respublikos teisingumo ministerija,Remigijus Šimašius,,,http://simasius.blogas.lt/
Lietuvos Respublikos užsienio reikalų ministerija,Audronius Ažubalis,,,
Lietuvos Respublikos vidaus reikalų ministerija,Raimundas Palaitis,,,
Lietuvos Respublikos švietimo ir mokslo ministerija,Gintaras Steponavičius,Ministras@smm.lt,,
Lietuvos Respublikos ūkio ministerija,Rimantas Žylius,,,
Lietuvos Respublikos žemės ūkio ministerija,Kazys Starkevičius,Ministro.priimamasis@zum.lt,(8-5) 2391 001,http://www.kazys.lt/
