institution,name,email,phone,other_info
Akmenės rajono savivaldybė Akmenės seniūnija,Jonas Katauskis,akmenes.seniunija@akmene.lt,,
Akmenės rajono savivaldybė Kruopių seniūnija,Vanda Kateivienė,kruopiu.seniunija@akmene.lt,,
Akmenės rajono savivaldybė Naujosios Akmenės kaimiškoji seniūnija,Romualdas Kulvinskis,kaimiskoji.seniunija@akmene.lt,,
Akmenės rajono savivaldybė Naujosios Akmenės miesto seniūnija,Rimvydas Juozapavičius,seniunija@akmene.lt,,
Akmenės rajono savivaldybė Papilės seniūnija,Antanas Vaičius,papiles.seniunija@akmene.lt,,
Akmenės rajono savivaldybė Ventos seniūnija,Genovaitė Mačiuvienė,ventos.seniunija@akmene.lt,,
Alytaus rajono savivaldybė Alovės seniūnija,Alvyda Urbanavičienė,aloves.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Alytaus seniūnija,Visvaldas Dumbliauskas,alytaus.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Butrimonių seniūnija,Algirdas Jusas,butrimoniu.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Daugų seniūnija,Vydas Raudonis,daugu.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Krokialaukio seniūnija,Rimas Jarmala,krokialaukio.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Miroslavo seniūnija,Jonas Juravičius,miroslavo.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Nemunaičio seniūnija,Jonas Janavičius,nemunaicio.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Pivašiūnų seniūnija,Rima Čelkonienė,pivasiunu.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Punios seniūnija,Gintautas Laukaitis,punios.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Raitininkų seniūnija,Arūnas Laukaitis,raitininku.seniunija@arsa.lt,,
Alytaus rajono savivaldybė Simno seniūnija,Vytautas Viršilas,simno.seniunija@arsa.lt,,
Anykščių rajono savivaldybė Andrioniškio seniūnija,Saulius Rasalas,andr.seniunija@is.lt,,
Anykščių rajono savivaldybė Anykščių seniūnija,Eugenijus Pajarskas,anyk.seniunija@is.lt,,
Anykščių rajono savivaldybė Debeikių seniūnija,Alvydas Simonavičius,deb.seniunija@is.lt,,
Anykščių rajono savivaldybė Kavarsko seniūnija,Algirdas Gansiniauskas,"kav.seniunas@is.lt, kav.seniunija@is.lt",,
Anykščių rajono savivaldybė Kurklių seniūnija,Algimantas Jurkus,kurk.seniunija@is.lt,,
Anykščių rajono savivaldybė Skiemonių seniūnija,Nijolė Vanagienė,skiem.seniunija@is.lt,,
Anykščių rajono savivaldybė Svėdasų seniūnija,Valentinas Neniškis,sve.seniunija@is.lt,,
Anykščių rajono savivaldybė Traupio seniūnija,Daiva Tolušytė,traup.seniunija@is.lt,,
Anykščių rajono savivaldybė Troškūnų seniūnija,Janė Dilienė,trosk.seniunija@is.lt,,
Anykščių rajono savivaldybė Viešintų seniūnija,Janė Každailienė,vies.seniunija@is.lt,,
Birštono savivaldybė Birštono seniūnija,Jonas Kederys,"jonask@birstonas.lt, seniunas@birstonas.lt",,
Biržų rajono savivaldybė Biržų miesto seniūnija,Kristina Padbarotkina,birzai@birzai.lt,,
Biržų rajono savivaldybė Nemunėlio Radviliškio seniūnija,Giedrius Kubilius,nem.radviliskis@birzai.lt,,
Biržų rajono savivaldybė Pabiržės seniūnija,Vita Bukauskienė,pabirze@birzai.lt,,
Biržų rajono savivaldybė Papilio seniūnija,Gediminas Arnašius,papilys@birzai.lt,,
Biržų rajono savivaldybė Parovėjos seniūnija,Gailutė Tamulėnienė,paroveja@birzai.lt,,
Biržų rajono savivaldybė Pačeriaukštės seniūnija,Vytautas Džėja,paceriaukste@birzai.lt,,
Biržų rajono savivaldybė Vabalninko seniūnija,Stepas Gudas,vabalninkas@birzai.lt,,
